,physical_error_rate,lattice_size,rounds,logical_error_rate,time,type
96,0.02,13,201.11111111111111,0.0655,52.92268083401723,global
97,0.02,13,201.11111111111111,0.0672,52.92268083401723,parallel
98,0.02,13,225.0,0.0664,61.05190224997932,global
99,0.02,13,225.0,0.0689,61.05190224997932,parallel
100,0.02,15,10.0,0.0032,1.0145197079982609,global
101,0.02,15,10.0,0.0032,1.0145197079982609,parallel
102,0.02,15,33.888888888888886,0.0068,3.8155743749812245,global
103,0.02,15,33.888888888888886,0.0068,3.8155743749812245,parallel
104,0.02,15,57.77777777777778,0.0113,13.983070500020403,global
105,0.02,15,57.77777777777778,0.0114,13.983070500020403,parallel
106,0.02,15,81.66666666666667,0.0159,24.475259667029604,global
107,0.02,15,81.66666666666667,0.0159,24.475259667029604,parallel
108,0.02,15,105.55555555555556,0.02,34.87259375001304,global
109,0.02,15,105.55555555555556,0.0203,34.87259375001304,parallel
110,0.02,15,129.44444444444446,0.0228,37.884976124973036,global
111,0.02,15,129.44444444444446,0.0233,37.884976124973036,parallel
112,0.02,15,153.33333333333334,0.0296,48.67426354199415,global
113,0.02,15,153.33333333333334,0.0299,48.67426354199415,parallel
114,0.02,15,177.22222222222223,0.0335,59.55559791601263,global
115,0.02,15,177.22222222222223,0.0343,59.55559791601263,parallel
116,0.02,15,201.11111111111111,0.0336,70.64942562498618,global
117,0.02,15,201.11111111111111,0.0349,70.64942562498618,parallel
118,0.02,15,225.0,0.0407,81.90053550002631,global
119,0.02,15,225.0,0.0417,81.90053550002631,parallel
120,0.02,17,10.0,0.0019,1.317158667021431,global
121,0.02,17,10.0,0.0019,1.317158667021431,parallel
122,0.02,17,33.888888888888886,0.0036,5.097183584002778,global
123,0.02,17,33.888888888888886,0.0036,5.097183584002778,parallel
124,0.02,17,57.77777777777778,0.0057,19.97810662497068,global
125,0.02,17,57.77777777777778,0.0057,19.97810662497068,parallel
126,0.02,17,81.66666666666667,0.0081,23.416706084040925,global
127,0.02,17,81.66666666666667,0.0081,23.416706084040925,parallel
128,0.02,17,105.55555555555556,0.0112,37.831061624980066,global
129,0.02,17,105.55555555555556,0.0117,37.831061624980066,parallel
130,0.02,17,129.44444444444446,0.0115,53.11676975002047,global
131,0.02,17,129.44444444444446,0.0118,53.11676975002047,parallel
132,0.02,17,153.33333333333334,0.0152,68.7810241659754,global
133,0.02,17,153.33333333333334,0.0156,68.7810241659754,parallel
134,0.02,17,177.22222222222223,0.0187,74.77715833304683,global
135,0.02,17,177.22222222222223,0.019,74.77715833304683,parallel
136,0.02,17,201.11111111111111,0.0201,92.79406174999895,global
137,0.02,17,201.11111111111111,0.0203,92.79406174999895,parallel
138,0.02,17,225.0,0.0256,108.38537470798474,global
139,0.02,17,225.0,0.0266,108.38537470798474,parallel
